Wavenumber,Transmittance
891.1282,0.93726
892.09262,0.93686
893.05705,0.93844
894.02147,0.93935
894.9859,0.93755
895.95032,0.93628
896.91474,0.93764
897.87917,0.9381
898.84359,0.93703
899.80802,0.93667
900.77244,0.93744
901.73687,0.93742
902.70129,0.93568
903.66572,0.93434
904.63014,0.93471
905.59456,0.9348
906.55899,0.93304
907.52341,0.93232
908.48784,0.93281
909.45226,0.93289
910.41669,0.93117
911.38111,0.93018
912.34554,0.93122
913.30996,0.93096
914.27438,0.92916
915.23881,0.92868
916.20323,0.92921
917.16766,0.92889
918.13208,0.92759
919.09651,0.92728
920.06093,0.92824
921.02536,0.92855
921.98978,0.92773
922.9542,0.92819
923.91863,0.92933
924.88305,0.92995
925.84748,0.92917
926.8119,0.92903
927.77633,0.93
928.74075,0.9303
929.70518,0.93016
930.6696,0.93132
931.63402,0.93254
932.59845,0.93237
933.56287,0.93208
934.5273,0.933
935.49172,0.93406
936.45615,0.93401
937.42057,0.93397
938.385,0.93545
939.34942,0.93772
940.31385,0.9387
941.27827,0.93839
942.24269,0.93978
943.20712,0.94128
944.17154,0.94126
945.13597,0.94119
946.10039,0.94265
947.06482,0.94413
948.02924,0.94411
948.99367,0.9446
949.95809,0.94612
950.92251,0.94634
951.88694,0.94484
952.85136,0.94393
953.81579,0.9443
954.78021,0.94441
955.74464,0.94332
956.70906,0.94239
957.67349,0.94356
958.63791,0.94381
959.60233,0.94146
960.56676,0.93829
961.53118,0.9371
962.49561,0.93616
963.46003,0.93339
964.42446,0.93108
965.38888,0.93111
966.35331,0.93012
967.31773,0.92715
968.28215,0.92519
969.24658,0.92401
970.211,0.92207
971.17543,0.91886
972.13985,0.91724
973.10428,0.91777
974.0687,0.91673
975.03313,0.91383
975.99755,0.91151
976.96197,0.9105
977.9264,0.90834
978.89082,0.90485
979.85525,0.90244
980.81967,0.9018
981.7841,0.89978
982.74852,0.89692
983.71295,0.89551
984.67737,0.89435
985.64179,0.8911
986.60622,0.88726
987.57064,0.88608
988.53507,0.88566
989.49949,0.8834
990.46392,0.88097
991.42834,0.88018
992.39277,0.87944
993.35719,0.87699
994.32161,0.87391
995.28604,0.87141
996.25046,0.86951
997.21489,0.86628
998.17931,0.86309
999.14374,0.86133
1000.10816,0.85975
1001.07259,0.85668
1002.03701,0.854
1003.00143,0.85335
1003.96586,0.85273
1004.93028,0.8507
1005.89471,0.84898
1006.85913,0.84875
1007.82356,0.84755
1008.78798,0.84401
1009.75241,0.84036
1010.71683,0.83729
1011.68125,0.83326
1012.64568,0.82837
1013.6101,0.82396
1014.57453,0.82012
1015.53895,0.81674
1016.50338,0.81185
1017.4678,0.80718
1018.43223,0.80408
1019.39665,0.80043
1020.36107,0.79526
1021.3255,0.79074
1022.28992,0.78754
1023.25435,0.78449
1024.21877,0.77995
1025.1832,0.77558
1026.14762,0.77242
1027.11205,0.76872
1028.07647,0.76442
1029.0409,0.76083
1030.00532,0.75828
1030.96974,0.75595
1031.93417,0.7524
1032.89859,0.74924
1033.86302,0.74726
1034.82744,0.74496
1035.79187,0.74175
1036.75629,0.73963
1037.72072,0.73896
1038.68514,0.73787
1039.64956,0.73583
1040.61399,0.73445
1041.57841,0.73336
1042.54284,0.73128
1043.50726,0.72855
1044.47169,0.7263
1045.43611,0.72448
1046.40054,0.72201
1047.36496,0.71798
1048.32938,0.71436
1049.29381,0.71109
1050.25823,0.7067
1051.22266,0.70089
1052.18708,0.69578
1053.15151,0.69216
1054.11593,0.68765
1055.08036,0.68184
1056.04478,0.67682
1057.0092,0.67192
1057.97363,0.66582
1058.93805,0.65984
1059.90248,0.65534
1060.8669,0.65128
1061.83133,0.64665
1062.79575,0.64305
1063.76018,0.64131
1064.7246,0.63998
1065.68902,0.63857
1066.65345,0.6368
1067.61787,0.6366
1068.5823,0.63698
1069.54672,0.6364
1070.51115,0.63642
1071.47557,0.63832
1072.44,0.64056
1073.40442,0.64204
1074.36884,0.64397
1075.33327,0.64761
1076.29769,0.65085
1077.26212,0.6528
1078.22654,0.65687
1079.19097,0.66248
1080.15539,0.66726
1081.11982,0.67147
1082.08424,0.67588
1083.04866,0.68171
1084.01309,0.68704
1084.97751,0.69107
1085.94194,0.69564
1086.90636,0.70159
1087.87079,0.70676
1088.83521,0.7113
1089.79964,0.71514
1090.76406,0.71885
1091.72848,0.72148
1092.69291,0.72202
1093.65733,0.72305
1094.62176,0.72439
1095.58618,0.7235
1096.55061,0.72143
1097.51503,0.71963
1098.47946,0.71756
1099.44388,0.7139
1100.4083,0.70931
1101.37273,0.70448
1102.33715,0.69974
1103.30158,0.69463
1104.266,0.68896
1105.23043,0.68295
1106.19485,0.6774
1107.15928,0.67124
1108.1237,0.6653
1109.08812,0.66027
1110.05255,0.65607
1111.01697,0.65179
1111.9814,0.6477
1112.94582,0.6462
1113.91025,0.64622
1114.87467,0.64589
1115.8391,0.64677
1116.80352,0.64939
1117.76795,0.65264
1118.73237,0.65633
1119.69679,0.66034
1120.66122,0.66543
1121.62564,0.67155
1122.59007,0.67744
1123.55449,0.68432
1124.51892,0.69241
1125.48334,0.70148
1126.44777,0.70999
1127.41219,0.71775
1128.37661,0.726
1129.34104,0.73313
1130.30546,0.7365
1131.26989,0.73773
1132.23431,0.73812
1133.19874,0.73709
1134.16316,0.73377
1135.12759,0.72889
1136.09201,0.72323
1137.05643,0.71589
1138.02086,0.70596
1138.98528,0.69531
1139.94971,0.68404
1140.91413,0.6712
1141.87856,0.6564
1142.84298,0.64132
1143.80741,0.62785
1144.77183,0.61522
1145.73625,0.60125
1146.70068,0.58858
1147.6651,0.57841
1148.62953,0.56913
1149.59395,0.55981
1150.55838,0.55151
1151.5228,0.54503
1152.48723,0.53896
1153.45165,0.53272
1154.41607,0.52759
1155.3805,0.52324
1156.34492,0.51871
1157.30935,0.51356
1158.27377,0.50969
1159.2382,0.50766
1160.20262,0.50541
1161.16705,0.50254
1162.13147,0.50123
1163.09589,0.50214
1164.06032,0.50273
1165.02474,0.5021
1165.98917,0.50283
1166.95359,0.50464
1167.91802,0.50537
1168.88244,0.50612
1169.84687,0.50858
1170.81129,0.51133
1171.77571,0.51313
1172.74014,0.51524
1173.70456,0.51979
1174.66899,0.52462
1175.63341,0.52842
1176.59784,0.53177
1177.56226,0.53602
1178.52669,0.54123
1179.49111,0.54588
1180.45553,0.54965
1181.41996,0.55505
1182.38438,0.56088
1183.34881,0.56534
1184.31323,0.57007
1185.27766,0.57592
1186.24208,0.58169
1187.20651,0.58611
1188.17093,0.59088
1189.13535,0.59756
1190.09978,0.60327
1191.0642,0.6076
1192.02863,0.6128
1192.99305,0.61923
1193.95748,0.62552
1194.9219,0.63122
1195.88633,0.63631
1196.85075,0.64287
1197.81517,0.64925
1198.7796,0.65359
1199.74402,0.65744
1200.70845,0.66133
1201.67287,0.66392
1202.6373,0.66437
1203.60172,0.66428
1204.56615,0.66518
1205.53057,0.66577
1206.49499,0.66543
1207.45942,0.66634
1208.42384,0.66901
1209.38827,0.67101
1210.35269,0.67269
1211.31712,0.67506
1212.28154,0.67868
1213.24597,0.68157
1214.21039,0.6838
1215.17482,0.68585
1216.13924,0.68865
1217.10366,0.69086
1218.06809,0.69112
1219.03251,0.69134
1219.99694,0.69259
1220.96136,0.69296
1221.92579,0.69157
1222.89021,0.6901
1223.85464,0.68953
1224.81906,0.68799
1225.78348,0.68501
1226.74791,0.68273
1227.71233,0.68127
1228.67676,0.67907
1229.64118,0.67642
1230.60561,0.67433
1231.57003,0.67403
1232.53446,0.67341
1233.49888,0.67232
1234.4633,0.67262
1235.42773,0.67456
1236.39215,0.6764
1237.35658,0.67811
1238.321,0.68134
1239.28543,0.68601
1240.24985,0.69004
1241.21428,0.69261
1242.1787,0.69587
1243.14312,0.69933
1244.10755,0.70114
1245.07197,0.70224
1246.0364,0.70445
1247.00082,0.70789
1247.96525,0.7102
1248.92967,0.71199
1249.8941,0.71487
1250.85852,0.71793
1251.82294,0.71905
1252.78737,0.71877
1253.75179,0.71882
1254.71622,0.71945
1255.68064,0.71827
1256.64507,0.71607
1257.60949,0.71521
1258.57392,0.7148
1259.53834,0.71496
1260.50276,0.71558
1261.46719,0.7181
1262.43161,0.7216
1263.39604,0.72406
1264.36046,0.72666
1265.32489,0.73029
1266.28931,0.73336
1267.25374,0.7343
1268.21816,0.73483
1269.18258,0.73673
1270.14701,0.73959
1271.11143,0.74289
1272.07586,0.74663
1273.04028,0.75193
1274.00471,0.7573
1274.96913,0.76113
1275.93356,0.76487
1276.89798,0.76898
1277.8624,0.77103
1278.82683,0.77064
1279.79125,0.77057
1280.75568,0.77128
1281.7201,0.7715
1282.68453,0.7708
1283.64895,0.77122
1284.61338,0.773
1285.5778,0.77452
1286.54222,0.77565
1287.50665,0.77771
1288.47107,0.77996
1289.4355,0.78174
1290.39992,0.78183
1291.36435,0.78206
1292.32877,0.78325
1293.2932,0.78283
1294.25762,0.78082
1295.22204,0.77993
1296.18647,0.78007
1297.15089,0.77931
1298.11532,0.77808
1299.07974,0.77788
1300.04417,0.77879
1301.00859,0.77962
1301.97302,0.7801
1302.93744,0.78107
1303.90187,0.78224
1304.86629,0.78229
1305.83071,0.78185
1306.79514,0.78178
1307.75956,0.78213
1308.72399,0.78243
1309.68841,0.78242
1310.65284,0.78246
1311.61726,0.78294
1312.58169,0.78333
1313.54611,0.78367
1314.51053,0.78402
1315.47496,0.78445
1316.43938,0.78486
1317.40381,0.7853
1318.36823,0.78602
1319.33266,0.78677
1320.29708,0.78755
1321.26151,0.78819
1322.22593,0.789
1323.19035,0.78978
1324.15478,0.79
1325.1192,0.78936
1326.08363,0.78961
1327.04805,0.79084
1328.01248,0.79144
1328.9769,0.79245
1329.94133,0.7955
1330.90575,0.7986
1331.87017,0.8008
1332.8346,0.8026
1333.79902,0.8041
1334.76345,0.80245
1335.72787,0.80081
1336.6923,0.79998
1337.65672,0.79979
1338.62115,0.79991
1339.58557,0.80026
1340.54999,0.80074
1341.51442,0.80526
1342.47884,0.80838
1343.44327,0.80672
1344.40769,0.80506
1345.37212,0.80458
1346.33654,0.8034
1347.30097,0.79936
1348.26539,0.7964
1349.22981,0.79493
1350.19424,0.79443
1351.15866,0.79153
1352.12309,0.78841
1353.08751,0.78653
1354.05194,0.78655
1355.01636,0.78482
1355.98079,0.78346
1356.94521,0.78355
1357.90963,0.78165
1358.87406,0.77532
1359.83848,0.77384
1360.80291,0.77146
1361.76733,0.76962
1362.73176,0.76816
1363.69618,0.76731
1364.66061,0.77131
1365.62503,0.76745
1366.58945,0.76146
1367.55388,0.76047
1368.5183,0.7613
1369.48273,0.75844
1370.44715,0.75434
1371.41158,0.74539
1372.376,0.7397
1373.34043,0.73842
1374.30485,0.73445
1375.26927,0.72395
1376.2337,0.71472
1377.19812,0.70841
1378.16255,0.70529
1379.12697,0.70878
1380.0914,0.71535
1381.05582,0.72098
1382.02025,0.72534
1382.98467,0.72989
1383.94909,0.73121
1384.91352,0.72713
1385.87794,0.73015
1386.84237,0.74207
1387.80679,0.75126
1388.77122,0.75269
1389.73564,0.75508
1390.70007,0.75552
1391.66449,0.74946
1392.62891,0.74213
1393.59334,0.74449
1394.55776,0.74612
1395.52219,0.74632
1396.48661,0.74446
1397.45104,0.74524
