Wavelength,Transmittance
1288.44909,0.67899
1290.3779,0.6804
1292.30672,0.68042
1294.23554,0.67818
1296.16435,0.67347
1298.09317,0.66622
1300.02198,0.65688
1301.9508,0.64544
1303.87962,0.63221
1305.80843,0.61708
1307.73725,0.6015
1309.66606,0.58556
1311.59488,0.56947
1313.5237,0.55589
1315.45251,0.54709
1317.38133,0.54245
1319.31014,0.54274
1321.23896,0.54883
1323.16778,0.55751
1325.09659,0.56396
1327.02541,0.56685
1328.95422,0.56581
1330.88304,0.56272
1332.81186,0.56056
1334.74067,0.56059
1336.66949,0.55791
1338.5983,0.55331
1340.52712,0.55539
1342.45594,0.56584
1344.38475,0.57655
1346.31357,0.5812
1348.24238,0.58171
1350.1712,0.5794
1352.10002,0.5745
1354.02883,0.56859
1355.95765,0.56525
1357.88646,0.56572
1359.81528,0.55906
1361.7441,0.54409
1363.67291,0.53437
1365.60173,0.53195
1367.53054,0.52779
1369.45936,0.52341
1371.38818,0.5205
1373.31699,0.51661
1375.24581,0.51701
1377.17462,0.52686
1379.10344,0.53956
1381.03226,0.55265
1382.96107,0.57073
1384.88989,0.58449
1386.8187,0.59505
1388.74752,0.61101
1390.67634,0.63376
1392.60515,0.64296
1394.53397,0.64237
1396.46278,0.63897
1398.3916,0.64059
1400.32042,0.64716
1402.24923,0.65289
1404.17805,0.65057
1406.10686,0.64689
1408.03568,0.64869
1409.9645,0.64752
1411.89331,0.64489
1413.82213,0.64907
1415.75094,0.64341
1417.67976,0.61606
1419.60858,0.59375
1421.53739,0.58586
1423.46621,0.58426
1425.39502,0.57903
1427.32384,0.57592
1429.25266,0.56946
1431.18147,0.5736
1433.11029,0.58654
1435.0391,0.58321
1436.96792,0.57711
1438.89674,0.58692
1440.82555,0.60644
1442.75437,0.61729
1444.68318,0.62194
1446.612,0.61943
1448.54082,0.61797
1450.46963,0.62807
1452.39845,0.65198
1454.32726,0.65035
1456.25608,0.62213
1458.1849,0.60744
1460.11371,0.63787
1462.04253,0.66528
1463.97134,0.66662
1465.90016,0.67332
1467.82898,0.70474
1469.75779,0.72334
1471.68661,0.71677
1473.61542,0.70879
1475.54424,0.72205
1477.47306,0.74426
1479.40187,0.75983
1481.33069,0.77487
1483.2595,0.79476
1485.18832,0.81677
1487.11714,0.81638
1489.04595,0.80577
1490.97477,0.81754
1492.90358,0.84828
1494.8324,0.85811
1496.76122,0.84451
1498.69003,0.8407
1500.61885,0.8676
1502.54766,0.90803
1504.47648,0.89183
1506.4053,0.8409
1508.33411,0.81886
1510.26293,0.8538
1512.19174,0.88631
1514.12056,0.89213
1516.04938,0.89277
1517.97819,0.89218
1519.90701,0.8831
1521.83582,0.87364
1523.76464,0.87366
1525.69346,0.88231
1527.62227,0.891
1529.55109,0.91041
1531.4799,0.90493
1533.40872,0.89858
1535.33754,0.92369
1537.26635,0.93596
1539.19517,0.89776
1541.12398,0.85886
1543.0528,0.85895
1544.98162,0.88075
1546.91043,0.89686
1548.83925,0.90635
1550.76806,0.9087
1552.69688,0.92146
1554.6257,0.94856
1556.55451,0.91403
1558.48333,0.85881
1560.41214,0.84383
1562.34096,0.89038
1564.26978,0.9168
1566.19859,0.91697
1568.12741,0.90063
1570.05622,0.89295
1571.98504,0.91074
1573.91386,0.90955
